"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","number_requested"
"203","MSB","Fish specimens","MSB:Fish:306",135,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,28,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:41:59.0",15
"204","MSB","Fish specimens","MSB:Fish:1105",53,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,30,"Collector(s): Robert Troxel, R. T. Fincke","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Robert Troxel, R. Fincke","2019-05-26 21:46:41.0",15
"177","MSB","Fish specimens","MSB:Fish:1091",71,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.15548,-106.631533,1000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, north Second Street NW, 5.3 miles north of Albuquerque city limits.",NA,"",1939,4,22,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:41:56.0",15
"102","MSB","Fish specimens","MSB:Fish:1086",250,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.173111,-106.626066,1000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, Second Street NW, 6.5 miles north of Albuquerque.",NA,"",1939,4,22,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 22:06:53.0",15
"54","MSB","Fish specimens","MSB:Fish:1088",65,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.174587,-106.625563,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, north Second Street NW, .25 mile south of Alameda.",NA,"",1939,6,13,"Collector(s): William J. Koster, Lela R. Koster, P. Bretney","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Lela R. Koster, P. Bretney","2019-05-26 21:23:03.0",15
"167","MSB","Fish specimens","MSB:Fish:1098",80,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.189406,-106.625396,2064,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, south of Alameda.",NA,"",1939,5,13,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:13:06.0",15
"28","MSB","Fish specimens","MSB:Fish:1085",91,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.192334,-106.619678,2064,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Conservancy ditch, just north of Alameda.",NA,"",1939,5,13,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:13:02.0",15
"196","MSB","Fish specimens","MSB:Fish:1079",60,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.096748,-106.692027,776,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, below a diversion dam, Albuquerque.",NA,"",1941,9,14,"Collector(s): William J. Koster, Frederick W. Worman, Earl Camp","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Frederick W. Worman, Earl Camp","2019-05-26 22:01:55.0",15
"53","MSB","Fish specimens","MSB:Fish:327",21,"Gambusia affinis","Poeciliidae","unknown; whole organism (formalin-fixed, 70% ethanol)",NA,35.37417,-106.49278,3036,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Algodones Riverside Drain, north of Bernalillo near Angostura.",NA,"",1942,2,28,"Collector(s): William J. Koster, Merle A. Gee","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Merle A. Gee","2019-05-26 21:51:39.0",10
"216","MSB","Fish specimens","MSB:Fish:365",61,"Gambusia affinis","Poeciliidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.321576,-106.555389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"East Riverside Drain, above Bernalillo.",NA,"",1947,9,27,"Collector(s): William J. Koster, R. Ivey","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Ivey","2019-05-26 21:22:51.0",15
"104","MSB","Fish specimens","MSB:Fish:288",200,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.068939,-106.663683,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Drain at Five Points.",NA,"",1949,12,3,"Collector(s): William J. Koster, G. Atkinson","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, G. Atkinson","2019-05-26 21:32:34.0",15
"55","MSB","Fish specimens","MSB:Fish:280",424,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.155761,-106.655157,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Griegos Drain, near head at Chavez Avenue, Los Ranchos de Albuquerque.",NA,"",1949,10,28,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:32:26.0",15
"106","MSB","Fish specimens","MSB:Fish:340",10,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.185977,-106.653113,1578,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Corrales Riverside Drain, ca. 1.6 kilometers south of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1949,11,5,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:56:46.0",5
"22","MSB","Fish specimens","MSB:Fish:315",27,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.188761,-106.64706,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, 0.75 mile below Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1949,7,28,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:46:37.0",14
"135","MSB","Fish specimens","MSB:Fish:305",37,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.204443,-106.610046,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Alameda Drain, off Second Street or NM State HWY 47, north of Alameda.",NA,"",1949,7,21,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:41:59.0",15
"193","MSB","Fish specimens","MSB:Fish:515",130,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.20447,-106.610066,2000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Alameda Drain, off Second Street or NM State HWY 47 near Sandoval County line.",NA,"",1949,11,19,"Collector(s): William J. Koster, Kenneth R. Coburn, G. Atkinson","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn, G. Atkinson","2019-05-26 20:57:16.0",15
"88","MSB","Fish specimens","MSB:Fish:326",114,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.210652,-106.627124,1000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Riverside Drain on Rio Grande, north of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1949,7,21,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:39.0",15
"168","MSB","Fish specimens","MSB:Fish:330",139,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.211994,-106.631125,658,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Drain on west of Rio Grande, 1.25 mile northwest of Alameda.",NA,"",1949,11,5,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:44.0",15
"13","MSB","Fish specimens","MSB:Fish:324",69,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.229809,-106.616288,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Riverside Drain on Rio Grande, 3.0 miles north of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1950,10,18,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:38.0",15
"83","MSB","Fish specimens","MSB:Fish:334",14,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.302146,-106.571551,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, Bernalillo Riverside Drain.",NA,"",1952,5,3,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:51:45.0",7
"17","MSB","Fish specimens","MSB:Fish:307",27,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.987044,-106.690293,3466,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, ca 4 kilometers upstream of Interstate 25 bridge, in vicinity of Pajarito Community in South Valley, an unicorporated section of Albuquerque.",NA,"",1959,2,24,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:41:59.0",14
"85","MSB","Fish specimens","MSB:Fish:285",23,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.051774,-106.671997,4148,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, in the South Valley, an unicorporated section of Albuquerque.",NA,"",1961,2,17,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:32:27.0",12
"136","MSB","Fish specimens","MSB:Fish:283",28,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.197915,-106.644476,500,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Drain canal west of Rio Grande, Alameda.",NA,"",1961,2,12,"Collector(s): J. K. Winther Jr.","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A; ; IN VIAL JAR 212-G","2019-05-26 21:32:27.0",14
"8","MSB","Fish specimens","MSB:Fish:292",12,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.408152,-106.470544,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 2.0 miles south of San Felipe Pueblo, off the Atchison, Topeka and Santa Fe Railroad tracks and BIA Road 852, San Felipe Indian Reservation.",NA,"",1961,2,12,"Collector(s): J. K. Winther Jr.","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:37:22.0",6
"164","MSB","Fish specimens","MSB:Fish:1068",17,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.051774,-106.671997,4148,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, in the South Valley, an unicorporated section of Albuquerque.",NA,"",1963,2,22,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:37:38.0",8
"103","MSB","Fish specimens","MSB:Fish:3391",768,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.383813,-106.481,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"A clear ditch flowing between Rio Grande and Algodones Riverside Drain, San Felipe Indian Reservation.",NA,"",1965,5,18,"Collector(s): G. C. Kobetich, L. T. Lamb","not recorded",NA,"PreservedSpecimen","verbatim collectors: G. C. Kobetich, L. T. Lamb","2019-05-27 02:57:52.0",15
"37","MSB","Fish specimens","MSB:Fish:2795",62,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.253452,-106.592892,1000,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at turnoff from NM State HWY 448, 5.4 miles north of west end of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1969,4,2,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 00:20:42.0",15
"96","MSB","Fish specimens","MSB:Fish:3421",62,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.249718,-106.603396,2077,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Corrales Lateral Canal, ca. 2.0 miles north of Corrales, west of NM State HWY 448 and Rio Grande.",NA,"",1972,6,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 03:01:02.0",15
"181","MSB","Fish specimens","MSB:Fish:4012",25,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.134932,-106.690783,654,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Corrales Riverside Drain, northeast of St Pius X High School grounds, formerly the University of Albuquerque, between Rio Grande and NM State HWY 448.",NA,"",1977,9,28,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 03:32:14.0",12
"40","MSB","Fish specimens","MSB:Fish:3993",31,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.136341,-106.685742,1075,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, northeast of St Pius X High School grounds, formerly the University of Albuquerque, off NM State HWY 448.",NA,"",1977,9,28,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 03:10:09.0",15
"46","MSB","Fish specimens","MSB:Fish:4172",225,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.26637,-106.598674,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Upper Corrales Riverside Drain, 2.0 miles NNE of Corrales, between NM State HWY 448 and Rio Grande.",NA,"",1977,5,10,"Collector(s): Charles W. Painter, E. W. Hansman, D. Earp","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, E. W. Hansman, D. Earp","2019-05-27 03:25:51.0",15
"121","MSB","Fish specimens","MSB:Fish:4418",37,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,8,3,"Collector(s): Charles W. Painter, S. P. Gloss","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, S. P. Gloss","2019-05-27 03:13:18.0",15
"122","MSB","Fish specimens","MSB:Fish:4385",71,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,9,23,"Collector(s): Charles W. Painter, David W. Reducker, David J. Hafner","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, David J. Hafner","2019-05-27 03:25:56.0",15
"123","MSB","Fish specimens","MSB:Fish:4378",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,9,23,"Collector(s): Charles W. Painter, David W. Reducker, David J. Hafner","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, David J. Hafner","2019-05-27 03:25:56.0",8
"47","MSB","Fish specimens","MSB:Fish:4440",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.090702,-106.684514,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, 0.2 mi north Central Ave., Albuq.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-B; Storage: 70% EtOH, 212-B;","2019-05-27 02:51:51.0",8
"12","MSB","Fish specimens","MSB:Fish:4389",449,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.092867,-106.682332,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Clear ditch, 0.2 mi north Central Ave., Albuquerque.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 03:29:06.0",15
"198","MSB","Fish specimens","MSB:Fish:4453",67,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.10562,-106.681074,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Clear ditch, east of Rio Grande at Interstate 40.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 03:32:19.0",15
"49","MSB","Fish specimens","MSB:Fish:4748",30,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.197227,-106.642667,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM Highway 46 at Corrales bridge.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 02:51:48.0",15
"126","MSB","Fish specimens","MSB:Fish:4353",18,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.222784,-106.601974,1000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Upper Corrales Riverside Drain, 3 mi north NM Hwy 46 at Corrales Bridge.",NA,"",1978,9,8,"Collector(s): Charles W. Painter, David W. Reducker, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, D. L. Chavez","2019-05-27 03:25:55.0",9
"91","MSB","Fish specimens","MSB:Fish:4176",63,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.253481,-106.591225,971,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.9 kilometers south of Arroyo de los Montoyas, Corrales.",NA,"",1978,5,21,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 02:45:05.0",15
"92","MSB","Fish specimens","MSB:Fish:4056",11,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.253481,-106.591225,971,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.9 kilometers south of Arroyo de los Montoyas, Corrales.",NA,"",1978,5,19,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 03:16:23.0",6
"112","MSB","Fish specimens","MSB:Fish:4462",46,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1978,6,14,"Collector(s): S. P. Gloss, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: S. P. Gloss, D. L. Chavez","2019-05-27 03:10:20.0",15
"89","MSB","Fish specimens","MSB:Fish:4086",43,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380072,-106.499406,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, area referred to as Angostura Diversion Works, but most likely the Angostura Grant with complex of levees, diversion canals, flumes, and gates.",NA,"",1978,9,29,"Collector(s): Charles W. Painter, Robert P. Reynolds, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, Robert P. Reynolds, D. L. Chavez","2019-05-27 03:25:47.0",15
